ULTDATA;FILIALCOD;CONTACOD;CENTROCUSTOCOD;ORÇADO;PERRATEIO
2023-10-31;4;209004;21;0;100
2023-10-31;4;210001;21;0;100
2023-10-31;4;210003;21;0;100
2023-10-31;4;210004;21;0;100
2023-10-31;4;210006;21;0;100
2023-10-31;4;210008;21;0;100
2023-10-31;4;210009;21;0;100
2023-10-31;4;211005;21;0;100
2023-10-31;4;260003;21;0;100
2023-10-31;4;260007;21;0;100
2023-10-31;4;280002;21;0;100
2023-10-31;4;280008;21;0;100
2023-10-31;4;280011;21;0;100
2023-10-31;4;280016;21;0;100
2023-10-31;4;330004;21;0;100
2023-10-31;4;330005;21;0;100
2023-10-31;4;330006;21;0;100
2023-10-31;4;330008;21;0;100
2023-10-31;4;330009;21;0;100
2023-10-31;4;330013;21;0;100
2023-10-31;4;340003;21;0;100
2023-10-31;4;430003;21;0;100
2023-10-31;4;430005;21;0;100
2023-10-31;4;430006;21;0;100
2023-10-31;4;440001;21;0;100
2023-10-31;4;560005;21;0;100
2023-10-31;4;570007;21;0;100
2023-10-31;4;580005;21;0;100
2023-10-31;4;620005;21;0;100
2023-10-31;4;620006;21;0;100
2023-10-31;4;620007;21;0;100
2023-10-31;4;620008;21;0;100
2023-10-31;4;620011;21;0;100
2023-10-31;4;630001;21;0;100
2023-10-31;4;630004;21;0;100
2023-10-31;4;640004;21;0;100
2023-10-31;4;640005;21;0;100
2023-10-31;4;660002;21;0;100
2023-10-31;4;660007;21;0;100
2023-10-31;4;660008;21;0;100
2023-10-31;4;660010;21;0;100
2023-10-31;4;660011;21;0;100
2023-10-31;4;660014;21;0;100
2023-10-31;4;660016;21;0;100
2023-10-31;4;670001;21;0;100
2023-10-31;4;670002;21;0;100
2023-10-31;4;670003;21;0;100
2023-10-31;4;670006;21;0;100
2023-10-31;4;670010;21;0;100
2023-10-31;4;670011;21;0;100
2023-10-31;4;670012;21;0;100
2023-10-31;4;670013;21;0;100
2023-10-31;4;670020;21;0;100
2023-10-31;4;710002;21;0;100
2023-10-31;4;720001;21;0;100
2023-10-31;4;720006;21;0;100
2023-10-31;4;720011;21;0;100
2023-10-31;4;730001;21;0;100
2023-10-31;4;730003;21;0;100
2023-10-31;4;730007;21;0;100
2023-10-31;4;730008;21;0;100
2023-10-31;4;730012;21;0;100
